City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,praya,14.9215,-23.5087,23.3,49,32,10.29,CV,1675538318
234,bytow,54.1706,17.4919,-1.55,77,100,4.35,PL,1675538208
235,sioux lookout,50.1001,-91.917,-14.96,72,100,1.54,CA,1675538319
236,torbay,47.6666,-52.7314,-12.46,79,100,13.38,CA,1675538269
237,birao,10.2849,22.7882,25.12,12,81,2.88,CF,1675538319
238,bilma,18.6853,12.9164,24.34,14,34,2.49,NE,1675538320
239,talnakh,69.4865,88.3972,-10.44,96,100,2.58,RU,1675538320
240,takoradi,4.8845,-1.7554,26.35,83,59,2.31,GH,1675538141
241,vestmannaeyjar,63.4427,-20.2734,4.32,61,100,12.64,IS,1675538320
242,pita,10.8333,-12.5833,29.73,19,36,0.6,GN,1675538321
243,cayenne,4.9333,-52.3333,24.02,94,75,1.03,GF,1675538321
244,baruun-urt,46.6806,113.2792,-19.19,87,47,1.34,MN,1675538321
245,luderitz,-26.6481,15.1594,17.97,83,5,7.4,NA,1675538322
246,gamba,-2.65,10.0,25.55,86,100,1.51,GA,1675538322
247,satana,20.5833,74.2,19.84,32,1,0.72,IN,1675538322
248,vanimo,-2.6741,141.3028,24.84,89,100,0.74,PG,1675538323
249,esperance,-33.8667,121.9,17.83,71,0,7.33,AU,1675538323
250,moberly,39.4184,-92.4382,12.04,28,0,6.17,US,1675538323
251,tokoroa,-38.2333,175.8667,17.02,97,91,0.94,NZ,1675538324
252,kodiak,57.79,-152.4072,-6.27,93,0,2.57,US,1675538040
253,uaua,-9.8414,-39.4817,36.01,21,51,5.32,BR,1675538324
254,riyadh,24.6877,46.7219,16.08,48,0,5.92,SA,1675538324
255,cabo san lucas,22.8909,-109.9124,27.61,50,0,3.6,MX,1675538280
256,darhan,49.4867,105.9228,-23.88,98,20,1.96,MN,1675538325
257,emilio carranza,19.9711,-96.6114,21.56,57,53,5.9,MX,1675538325
258,sola,-13.8833,167.55,27.65,81,100,9.62,VU,1675538325
259,hirara,24.8,125.2833,20.35,71,34,6.43,JP,1675538326
260,kutum,14.2,24.6667,19.41,14,100,3.8,SD,1675538326
261,burgeo,47.6167,-57.6152,-13.87,89,99,17.72,CA,1675538327
262,terekli-mekteb,44.1671,45.8698,-0.03,76,100,3.77,RU,1675538327
263,kalmunai,7.4167,81.8167,24.41,89,97,3.37,LK,1675538327
264,hit,33.6416,42.8251,12.34,44,76,4.02,IQ,1675538328
265,the valley,18.217,-63.0578,27.28,83,40,7.2,AI,1675538328
266,san buenaventura,27.0833,-101.5333,16.93,32,0,1.06,MX,1675538328
